"","komitet","procent"
"1","Liczba wyborców",432
"2","Liczba kart oddanych",265
"3","Liczba głosów ważnych",192
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",5.73
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",21.35
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.04
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",14.06
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",45.83
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",1.56
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",3.65
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.52
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.04
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",3.65
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.56
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0
