"","komitet","procent"
"1","Liczba wyborców",1719
"2","Liczba kart oddanych",954
"3","Liczba głosów ważnych",815
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",7.73
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",5.03
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.49
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",27.85
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",42.58
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.37
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.1
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.96
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.74
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.74
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.96
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.86
"16","KOMITET WYBORCZY LEWICA",0.61
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",5.4
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.49
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.49
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.6
