"","komitet","procent"
"1","Liczba wyborców",659
"2","Liczba kart oddanych",556
"3","Liczba głosów ważnych",NA
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",13.31
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",35.07
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.9
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",16.91
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",27.88
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.54
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.36
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.18
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.08
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.72
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.9
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.72
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.44
