"","komitet","procent"
"1","Liczba wyborców",1376
"2","Liczba kart oddanych",728
"3","Liczba głosów ważnych",553
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",15.73
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",26.04
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.54
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",30.2
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",15.73
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.08
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.81
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.18
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.54
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.99
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.54
"16","KOMITET WYBORCZY LEWICA",1.27
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.27
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.54
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.27
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.27
