"","komitet","procent"
"1","Liczba wyborców",1241
"2","Liczba kart oddanych",674
"3","Liczba głosów ważnych",571
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",11.91
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",46.06
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.35
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",15.24
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",19.79
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.53
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.53
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.35
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.7
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.53
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.18
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",3.33
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.35
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.18
