"","komitet","procent"
"1","Liczba wyborców",418
"2","Liczba kart oddanych",238
"3","Liczba głosów ważnych",146
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",9.59
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",47.26
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",12.33
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",13.7
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.68
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",2.74
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.74
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",1.37
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",4.11
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.68
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",2.05
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",2.74
