"","komitet","procent"
"1","Liczba wyborców",1705
"2","Liczba kart oddanych",859
"3","Liczba głosów ważnych",821
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",39.83
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.31
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.49
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",33.86
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",17.3
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.85
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.73
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.31
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.22
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.61
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.49
