"","komitet","procent"
"1","Liczba wyborców",1360
"2","Liczba kart oddanych",651
"3","Liczba głosów ważnych",568
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",21.65
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.64
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.53
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",41.37
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",21.48
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.06
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.35
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.35
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",5.46
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.53
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",3.35
"15","KOMITET WYBORCZY WYBORCÓW POLSKI KIERUNEK",0.18
"16","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.18
"17","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.88
