"","komitet","procent"
"1","Liczba wyborców",1733
"2","Liczba kart oddanych",802
"3","Liczba głosów ważnych",774
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",40.83
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",3.23
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.78
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",32.69
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",17.05
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.78
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.13
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.26
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.84
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.65
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.26
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.52
