"","komitet","procent"
"1","Liczba wyborców",649
"2","Liczba kart oddanych",499
"3","Liczba głosów ważnych",353
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",10.76
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",58.36
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.98
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",3.97
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",17.56
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.57
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.57
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.42
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.28
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.57
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.28
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.7
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.28
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.28
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.42
