"","komitet","procent"
"1","Liczba wyborców",2095
"2","Liczba kart oddanych",917
"3","Liczba głosów ważnych",715
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",8.39
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",49.93
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",9.51
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",22.24
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.28
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.14
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.28
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.14
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.12
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",5.03
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",1.82
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.42
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.7
