"","komitet","procent"
"1","Liczba wyborców",2225
"2","Liczba kart oddanych",1150
"3","Liczba głosów ważnych",1110
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",19.28
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.07
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.09
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",50.36
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",19.1
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.08
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.9
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",4.68
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.27
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.44
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.36
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.36
