"","komitet","procent"
"1","Liczba wyborców",1969
"2","Liczba kart oddanych",828
"3","Liczba głosów ważnych",685
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",9.05
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",43.07
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.73
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",12.26
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",24.67
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.29
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.9
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.15
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.44
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.75
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.44
"16","KOMITET WYBORCZY LEWICA",0.73
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.48
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.58
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.73
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.73
