"","komitet","procent"
"1","Liczba wyborców",555
"2","Liczba kart oddanych",351
"3","Liczba głosów ważnych",255
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",12.94
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",19.22
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.39
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",8.24
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",25.1
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",1.96
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.39
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.96
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.57
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.78
"16","KOMITET WYBORCZY LEWICA",1.18
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.96
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",17.65
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.96
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",2.75
"21","KOMITET WYBORCZY WYBORCÓW MŁODZI GWARANCJĄ ZMIAN",1.96
