"","komitet","procent"
"1","Liczba wyborców",2021
"2","Liczba kart oddanych",1167
"3","Liczba głosów ważnych",883
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",6
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",16.42
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.79
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",5.1
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",59.8
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.57
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",3.28
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.23
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.91
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.23
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.79
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.57
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",3.17
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.79
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.36
