"","komitet","procent"
"1","Liczba wyborców",1956
"2","Liczba kart oddanych",1006
"3","Liczba głosów ważnych",1006
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",14.02
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.19
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.3
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",52.78
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",24.85
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.3
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.1
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.8
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.89
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.1
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.49
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.5
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.7
