"","komitet","procent"
"1","Liczba wyborców",1071
"2","Liczba kart oddanych",525
"3","Liczba głosów ważnych",488
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",22.95
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",3.28
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.02
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",35.66
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",27.66
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.23
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.2
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.61
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.69
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.43
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.61
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.64
