"","komitet","procent"
"1","Liczba wyborców",649
"2","Liczba kart oddanych",393
"3","Liczba głosów ważnych",293
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",14.33
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",36.52
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.02
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",23.21
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",15.02
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",1.71
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.37
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.02
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.02
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.02
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.05
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.02
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.68
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0
