"","komitet","procent"
"1","Liczba wyborców",1020
"2","Liczba kart oddanych",446
"3","Liczba głosów ważnych",362
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",5.8
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",67.4
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.55
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",4.42
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",15.47
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.28
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.28
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.55
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.38
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",1.1
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.93
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.55
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.28
