"","komitet","procent"
"1","Liczba wyborców",2342
"2","Liczba kart oddanych",963
"3","Liczba głosów ważnych",899
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",21.25
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.34
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.33
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",44.61
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",23.58
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.67
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.89
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.22
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.89
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.33
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.89
