"","komitet","procent"
"1","Liczba wyborców",1154
"2","Liczba kart oddanych",513
"3","Liczba głosów ważnych",473
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",12.05
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",5.5
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.48
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",30.66
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",32.56
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.85
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.27
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.21
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.63
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.59
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.63
"16","KOMITET WYBORCZY LEWICA",0.42
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",9.09
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.85
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.21
