"","komitet","procent"
"1","Liczba wyborców",2252
"2","Liczba kart oddanych",1099
"3","Liczba głosów ważnych",1052
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",35.46
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.95
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.86
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",41.83
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",7.89
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.76
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.48
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",5.13
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.57
"15","KOMITET WYBORCZY WYBORCÓW POLSKI KIERUNEK",0
"16","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.1
"17","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",2
