"","komitet","procent"
"1","Liczba wyborców",2274
"2","Liczba kart oddanych",1064
"3","Liczba głosów ważnych",993
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",19.23
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.52
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.6
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",44.21
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",24.47
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.61
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.5
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.6
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",4.93
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.5
"15","KOMITET WYBORCZY WYBORCÓW POLSKI KIERUNEK",0.1
"16","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"17","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.7
