"","komitet","procent"
"1","Liczba wyborców",1531
"2","Liczba kart oddanych",854
"3","Liczba głosów ważnych",798
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",12.91
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",3.38
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.13
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",47.24
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",29.7
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.75
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.63
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.26
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.13
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.63
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.75
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.5
