"","komitet","procent"
"1","Liczba wyborców",1537
"2","Liczba kart oddanych",810
"3","Liczba głosów ważnych",749
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",8.68
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.54
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.67
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",43.79
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",26.84
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",2.4
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.67
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",6.54
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.8
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",6.14
"15","KOMITET WYBORCZY WYBORCÓW POLSKI KIERUNEK",0
"16","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.4
"17","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.53
