"","komitet","procent"
"1","Liczba wyborców",1442
"2","Liczba kart oddanych",648
"3","Liczba głosów ważnych",626
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",27.96
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",1.44
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.12
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",38.34
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",23.32
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.8
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.32
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.12
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.51
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.48
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.96
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.16
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.48
