"","komitet","procent"
"1","Liczba wyborców",1338
"2","Liczba kart oddanych",614
"3","Liczba głosów ważnych",558
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",22.22
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",3.76
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.54
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",39.96
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",23.84
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.18
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.36
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",4.48
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.36
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.61
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.72
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.97
