"","komitet","procent"
"1","Liczba wyborców",1260
"2","Liczba kart oddanych",545
"3","Liczba głosów ważnych",517
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",8.32
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",3.87
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.19
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",43.52
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",27.47
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.93
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.39
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.35
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",7.35
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.39
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.32
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.97
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.93
