"","komitet","procent"
"1","Liczba wyborców",1499
"2","Liczba kart oddanych",508
"3","Liczba głosów ważnych",437
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",25.86
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",4.58
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",2.06
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",31.81
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",28.83
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.46
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.46
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.69
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.2
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.23
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.69
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.14
