"","komitet","procent"
"1","Liczba wyborców",2084
"2","Liczba kart oddanych",876
"3","Liczba głosów ważnych",704
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",8.24
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",6.39
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.28
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",22.87
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",42.05
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",2.27
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.42
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.43
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.57
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.28
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",4.26
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.28
"16","KOMITET WYBORCZY LEWICA",0.14
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",6.25
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.71
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.71
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.85
