"","komitet","procent"
"1","Liczba wyborców",1864
"2","Liczba kart oddanych",963
"3","Liczba głosów ważnych",915
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",25.36
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",1.86
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.11
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",41.64
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",26.45
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.66
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.55
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.86
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.22
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.22
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.11
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.98
