"","komitet","procent"
"1","Liczba wyborców",1983
"2","Liczba kart oddanych",788
"3","Liczba głosów ważnych",694
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",20.61
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.45
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.3
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",39.05
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",25.79
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.73
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.14
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.29
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",4.9
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.14
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.72
"15","KOMITET WYBORCZY WYBORCÓW POLSKI KIERUNEK",1.01
"16","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.29
"17","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.59
