"","komitet","procent"
"1","Liczba wyborców",2116
"2","Liczba kart oddanych",967
"3","Liczba głosów ważnych",927
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",31.72
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",1.62
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.11
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",36.25
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",22.22
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.54
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.22
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.65
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.34
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.22
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.4
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.65
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.08
