"","komitet","procent"
"1","Liczba wyborców",2110
"2","Liczba kart oddanych",1058
"3","Liczba głosów ważnych",1005
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",24.48
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",1.69
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",42.19
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",23.68
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.19
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.8
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.99
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.1
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.19
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.1
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.59
