"","komitet","procent"
"1","Liczba wyborców",1884
"2","Liczba kart oddanych",968
"3","Liczba głosów ważnych",931
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",18.37
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",1.4
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.54
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",45.97
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",27.5
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.64
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.11
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.11
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.54
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.11
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.07
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.11
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.54
