"","komitet","procent"
"1","Liczba wyborców",1771
"2","Liczba kart oddanych",681
"3","Liczba głosów ważnych",524
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",8.59
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",29.01
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.76
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",33.59
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",19.85
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",1.15
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.95
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.15
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.95
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.38
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.19
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.53
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.19
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.72
