"","komitet","procent"
"1","Liczba wyborców",901
"2","Liczba kart oddanych",421
"3","Liczba głosów ważnych",351
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",9.97
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",24.22
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.14
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",29.63
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",23.93
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.28
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.57
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.28
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.14
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.85
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",1.14
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",4.27
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.85
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.71
