"","komitet","procent"
"1","Liczba wyborców",1038
"2","Liczba kart oddanych",478
"3","Liczba głosów ważnych",437
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",18.76
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.29
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.14
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",39.36
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",28.15
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",2.29
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.23
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",5.03
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.37
"15","KOMITET WYBORCZY WYBORCÓW POLSKI KIERUNEK",0.23
"16","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"17","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.14
