"","teryt","wojewodztwo"," kodgminy","gmina","typ","obwod","wyborcy","oddane","wazne","sld","psl","ppp","po","pis","nop","pr"
"1",140000,"mazowieckie",146101,"Ostrołęka","miasto",1,2094,1012,852,15.73,14.79,0.82,23.59,39.55,0.94,0.59
"2",140000,"mazowieckie",146101,"Ostrołęka","miasto",2,1146,577,524,15.65,17.37,0.19,25,36.07,0.57,1.15
"3",140000,"mazowieckie",146101,"Ostrołęka","miasto",3,2012,978,845,18.82,15.74,0.12,28.64,31.36,0.95,0.47
"4",140000,"mazowieckie",146101,"Ostrołęka","miasto",4,2077,1022,907,14.44,16.32,0.44,26.46,36.82,0.22,0.88
"5",140000,"mazowieckie",146101,"Ostrołęka","miasto",5,1915,829,692,17.49,18.21,1.01,19.94,38.73,0.58,0.29
"6",140000,"mazowieckie",146101,"Ostrołęka","miasto",6,2011,855,719,23.64,15.58,0.42,20.03,35.19,0.56,0.97
"7",140000,"mazowieckie",146101,"Ostrołęka","miasto",7,1924,883,784,19.01,14.41,1.02,21.3,35.2,0.77,2.81
"8",140000,"mazowieckie",146101,"Ostrołęka","miasto",8,1874,843,752,18.35,18.22,0.53,23.27,32.71,1.46,0.8
"9",140000,"mazowieckie",146101,"Ostrołęka","miasto",9,1254,657,570,15.26,14.04,0.18,29.65,35.79,0.18,0.35
"10",140000,"mazowieckie",146101,"Ostrołęka","miasto",10,1650,696,566,27.03,16.25,0.18,20.67,27.03,0.71,2.47
"11",140000,"mazowieckie",146101,"Ostrołęka","miasto",11,1636,743,653,18.99,15.31,0.31,23.58,37.21,0.46,0.77
"12",140000,"mazowieckie",146101,"Ostrołęka","miasto",12,795,342,296,28.38,17.57,1.69,22.97,25.68,0.34,1.01
"13",140000,"mazowieckie",146101,"Ostrołęka","miasto",13,1792,797,740,19.32,16.76,0.54,25.54,32.7,1.08,0.68
"14",140000,"mazowieckie",146101,"Ostrołęka","miasto",14,2086,897,782,18.54,18.54,0.64,29.03,28.39,0.77,0.38
"15",140000,"mazowieckie",146101,"Ostrołęka","miasto",15,2150,933,835,18.08,18.08,0.36,28.14,29.46,0.12,0.96
"16",140000,"mazowieckie",146101,"Ostrołęka","miasto",16,2020,1053,985,15.74,23.35,0.2,26.19,31.57,0.2,0.61
"17",140000,"mazowieckie",146101,"Ostrołęka","miasto",17,2086,936,860,15.58,19.77,0.47,27.44,30.81,0.7,0.58
"18",140000,"mazowieckie",146101,"Ostrołęka","miasto",18,2374,1170,1056,13.26,17.99,0.76,29.07,32.29,1.23,0.47
"19",140000,"mazowieckie",146101,"Ostrołęka","miasto",19,2266,1086,984,13.92,21.44,0.1,28.35,31.61,0.41,0.91
"20",140000,"mazowieckie",146101,"Ostrołęka","miasto",20,2221,1035,911,17.89,17.01,0.22,27.66,31.39,0.33,0.11
"21",140000,"mazowieckie",146101,"Ostrołęka","miasto",21,2198,1047,925,17.3,15.68,0.32,20.32,42.49,0.54,0.43
"22",140000,"mazowieckie",146101,"Ostrołęka","miasto",22,1433,710,637,21.66,18.52,1.1,22.14,32.81,0.94,0.47
"23",140000,"mazowieckie",146101,"Ostrołęka","miasto",23,1179,562,525,15.81,19.43,0,30.1,28.95,0.57,0.76
"24",140000,"mazowieckie",146101,"Ostrołęka","miasto",24,637,375,324,15.74,28.09,0,20.37,31.17,0,1.23
"25",140000,"mazowieckie",146101,"Ostrołęka","miasto",25,177,126,97,25.77,18.56,2.06,11.34,27.84,0,0
"26",140000,"mazowieckie",146101,"Ostrołęka","miasto",26,16,16,14,28.57,14.29,7.14,0,42.86,7.14,0
"27",140000,"mazowieckie",146101,"Ostrołęka","miasto",27,16,4,4,50,0,0,0,50,0,0
"28",140000,"mazowieckie",146101,"Ostrołęka","miasto",28,16,5,2,50,50,0,0,0,0,0
"29",140000,"mazowieckie",146101,"Ostrołęka","miasto",29,81,48,41,29.27,21.95,2.44,24.39,17.07,0,0
"30",140000,"mazowieckie",146201,"Płock","miasto",1,1221,591,531,10.73,48.78,0.38,20.34,12.62,0.38,0.94
"31",140000,"mazowieckie",146201,"Płock","miasto",2,2125,845,714,19.19,29.55,0.84,21.85,22.55,0.56,0.7
"32",140000,"mazowieckie",146201,"Płock","miasto",3,1460,599,528,20.08,30.68,0.38,20.27,22.35,1.33,0.57
"33",140000,"mazowieckie",146201,"Płock","miasto",4,1599,606,514,20.04,28.02,0.39,21.6,23.54,0.19,0.78
"34",140000,"mazowieckie",146201,"Płock","miasto",5,1221,585,513,17.74,35.09,0.19,23.59,19.49,0.19,1.17
"35",140000,"mazowieckie",146201,"Płock","miasto",6,1128,452,399,18.05,35.84,0.25,20.8,20.55,0.25,0.25
"36",140000,"mazowieckie",146201,"Płock","miasto",7,1692,672,579,19.86,30.74,0.86,18.31,22.28,0.35,0.52
"37",140000,"mazowieckie",146201,"Płock","miasto",8,1069,430,349,20.63,42.69,0.86,13.18,12.32,0.57,1.43
"38",140000,"mazowieckie",146201,"Płock","miasto",9,1782,692,572,18.01,31.99,0.7,20.1,20.98,0.35,0.87
"39",140000,"mazowieckie",146201,"Płock","miasto",10,1069,430,349,20.63,42.69,0.86,13.18,12.32,0.57,1.43
"40",140000,"mazowieckie",146201,"Płock","miasto",11,1324,548,458,23.58,36.24,1.09,17.25,17.03,0.22,0
"41",140000,"mazowieckie",146201,"Płock","miasto",12,1226,659,556,13.31,35.07,0.9,16.91,27.88,0.54,0.36
"42",140000,"mazowieckie",146201,"Płock","miasto",13,1731,764,670,13.73,30.75,0.75,24.03,25.37,0.45,0.75
"43",140000,"mazowieckie",146201,"Płock","miasto",14,1829,844,775,16,30.84,0.52,24.13,23.35,0.39,0.9
"44",140000,"mazowieckie",146201,"Płock","miasto",15,1687,797,707,16.69,31.68,0.71,25.6,19.52,0.42,0.85
"45",140000,"mazowieckie",146201,"Płock","miasto",16,1625,768,688,17.73,35.9,0.29,19.33,21.37,0.15,1.16
"46",140000,"mazowieckie",146201,"Płock","miasto",17,1783,817,746,15.82,35.52,0.67,23.46,19.71,0.8,0.8
"47",140000,"mazowieckie",146201,"Płock","miasto",18,1380,662,588,15.14,30.95,0.51,22.96,25.85,0.51,0.34
"48",140000,"mazowieckie",146201,"Płock","miasto",19,596,258,238,15.55,31.09,0.42,22.27,23.95,1.68,0.84
"49",140000,"mazowieckie",146201,"Płock","miasto",20,1249,621,567,20.81,30.69,0.18,22.4,19.75,0.18,0.18
"50",140000,"mazowieckie",146201,"Płock","miasto",21,1284,595,530,16.79,27.36,0.38,23.77,24.34,0.75,0.57
"51",140000,"mazowieckie",146201,"Płock","miasto",22,1782,798,735,18.37,35.51,0.54,20.27,18.37,0.95,1.5
"52",140000,"mazowieckie",146201,"Płock","miasto",23,252,150,125,4,60.8,1.6,8,17.6,0,6.4
"53",140000,"mazowieckie",146201,"Płock","miasto",24,1233,520,410,17.32,35.61,0.98,18.05,20.24,0.49,0.24
"54",140000,"mazowieckie",146201,"Płock","miasto",25,1384,565,466,21.03,31.76,0.64,19.74,18.03,1.72,0.43
"55",140000,"mazowieckie",146201,"Płock","miasto",26,817,339,242,19.42,38.84,1.24,21.07,10.74,1.24,0.41
"56",140000,"mazowieckie",146201,"Płock","miasto",27,1325,580,540,14.26,37.96,0.37,20.74,20.93,0.56,2.22
"57",140000,"mazowieckie",146201,"Płock","miasto",28,1527,698,621,17.71,35.43,1.13,21.1,19.65,0.16,0.48
"58",140000,"mazowieckie",146201,"Płock","miasto",29,1493,659,597,17.76,31.83,1.17,20.77,23.79,0.34,0.67
"59",140000,"mazowieckie",146201,"Płock","miasto",30,2117,979,885,13.9,32.43,0.56,20,25.42,0.56,0.68
"60",140000,"mazowieckie",146201,"Płock","miasto",31,916,414,380,18.42,32.37,1.32,21.32,20.26,0.53,1.58
"61",140000,"mazowieckie",146201,"Płock","miasto",32,1389,639,575,17.39,32,0.35,24.7,20,0.7,1.39
